player,team,pos,tldr,summary,c_fastball,f_fastball,c_slider,f_slider,c_command,f_command,sits_low,sits_high,tops,c_hit,f_hit,c_raw,f_raw,c_game,f_game,c_run,f_run,c_field,f_field,throw,c_curveball,f_curveball,c_change,f_change,c_cutter,f_cutter
Moisés Chace,phi,SP,"Chace has a monster uphill fastball that should enable him to play a prominent role, even if his command doesn’t develop enough for him to start.","Chace has a high-octane arm and checks a bunch of different data and scouting boxes. He has a very athletic drop-and-drive delivery, his arm action breaks the sound barrier, and his heater has exploding life to the eye to go with mid-90s velocity. The data corroborates this: plus extension, low release height, plus vertical movement on his fastball. When Chace is locating his fastball to the belt, hitters have no chance against him. He looks like Bryce Miller did at roughly the same stage, a fastball-heavy 21-year-old of medium build. There is going to be a dominant fastball here, and there are flashes of good secondary stuff that ideally can be polished so Chace can max out, but like Joe Ryan and Miller, when guys have fastballs this good, they tend to pan out.

Chace’s slider flashes late, hitter-freezing, two-plane bend, but it doesn’t do so consistently. His changeup has, at times, ridiculous tailing action and can steal strikes running back over the glove-side corner of the plate, but again this is rare. His release is pretty inconsistent generally, which is totally normal for a 21-year-old with this kind of arm speed, but also creates some relief risk. The Phillies could pull the ripcord with this guy whenever they want and put him in the big league bullpen, and he’d probably be really good right away. Building his innings count by 20 frames or so (he threw 80.1 innings in 2024) in his first option year would tee up Chace to work something closer to a viable starter’s workload in 2026. Either way, unless his command regresses to 2022-23 levels, Chace’s fastball is going to carry him to an important big league role of some kind within the next two to three years.",70,80,45,55,30,45,93,96,97,,,,,,,,,,,,,,30,45,,
Brody Hopkins,tbr,SP,"Hopkins transferred from one small school to another and only began pitching in a serious way during his draft spring. A big-framed guy and exciting athlete, Hopkins’ stuff took a leap within his first year as a pro and he quickly became Seattle’s best pitching prospect before he was dealt for Randy Arozarena.","Hopkins is a converted outfielder who spent his first couple of collegiate seasons at the College of Charleston, where he didn’t pitch very much. It wasn’t until he transferred to Winthrop that he began to pitch regularly in a starter role, and he still managed to lead the Eagles in homers during his draft year even though Hopkins was becoming an “arrow up” prospect on the mound. A big-framed guy and exciting athlete, Hopkins’ stuff took a leap within his first year as a pro, and he quickly became Seattle’s best pitching prospect before he was traded to Tampa Bay as part of the Randy Arozarena deal and was promoted to High-A. Across both orgs he had a strong first full season — 115 IP in 25 starts, 10.41 K/9, 4.15 BB/9, 3.05 ERA — especially for a guy who was still hitting part of the time the prior season.

Hopkins has a low-slot slinger’s delivery akin to Tanner Houck or Camilo Doval. He’s a broad-shouldered 6-foot-4 and has a low-slot, drop-and-drive style, with his arm stroke happening suddenly at the very end of his delivery. This wreaks havoc on hitters’ timing and creates exploding rise-and-tail life up around the hands of righties. He has been up to 99 and, in his first year of focusing on pitching, threw a decent number of strikes. Obviously, with an arm slot like Hopkins’, his slider spells trouble for righties. This pitch has variable movement in the 86-92 mph range. Some of them look like cutters, while others have more length and depth.

It used to be that pitchers with deliveries like this were rarely found in a rotation, but that’s not really true anymore, and it’s becoming less true all the time. If Hopkins can develop a changeup and/or a well-commanded cutter, anything to flesh out his repertoire, he has a great chance to be a mid-rotation starter. He checks basically every athletic box on the scout card, and there are all kinds of late bloomer traits here. Pitching full-time is still very new to Hopkins and the Rays seemed to alter his style of attack after the trade, as he peppered the top of the zone more often. His groundball rate before the deal (59%) and after it (34%) help illustrate the effects of this. This is a very exciting pitching prospect whose floor feels like that of a nasty late-inning reliever. He has a mid-rotation ceiling if he sustains this velo and finds a third pitch.",60,60,55,60,30,40,93,97,99,,,,,,,,,,,,,,40,50,40,55
Cole Young,sea,SS,Young is a viable shortstop with above-average contact and on-base skills. His power might have been down in 2024 due to a wrist injury.,"Young managed to slash .271/.369/.390 at Double-A Arkansas in 2024 even though it’s a pitcher-friendly environment and he was dealing with a nagging wrist issue, which cropped up again in his first and only Fall League game. His underlying exit velos from 2024 are pretty underwhelming, but they’re still just shy of the average among big league shortstops (his contact rates are comfortably above) and were probably impacted by his wrist.

Young does enough on defense to project as a viable shortstop. His hands and exchange are sound, while his arm strength is right on the fringe on what’s permissible on the left side. He’s performed on offense even as he and the Mariners have made changes to his swing, which now includes a lower load. Young also grinds out tough at-bats. He has great plate discipline, spoils tough two-strike pitches, and tends to put the ball in play even when he chases. If he shows up to camp healthy this spring, there’s a chance he grabs hold of the Mariners everyday second base job at some point in 2025. He’s a low-variance everyday middle infield prospect who is unlikely to be a star.",,,,,,,,,,50,60,45,45,35,40,50,50,40,45,50,,,,,,
Jimmy Crooks,stl,C,Crooks is a glove-first catcher who does enough on offense to be the primary guy.,"Crooks has been a consistently above-average offensive performer at each level since entering pro ball, culminating in a 2024 at Double-A in which he slashed a BABIP-aided .321/.410/.498. His underlying contact and power data is closer to average — 73% contact rate, 104 mph EV90 — though Crooks makes consistently hard contact. His batting stance evokes Luis Gonzalez, and Crooks tends to work the opposite way against pitches that aren’t hung breaking balls. It’s a solid offensive skill set for a catcher, and Crooks is a very good one. Basestealers should call Crooks “The Informant,” as he is not on their side no matter his last name, and while he has above-average arm strength, his accuracy is remarkable. So, too, is his ball-blocking. Crooks’ size helps create a flesh wall behind the plate, he ability to backhand balls in the dirt is great, and his strength makes him a good receiver. He’s tracking like a glove-first primary catcher with solid average offense.",,,,,,,,,,35,45,50,50,40,45,20,20,50,60,60,,,,,,
Juan Brito,cle,2B,Brito is a contact-oriented switch-hitter who has improved enough as a defender to play second base at the big league level. His profile is more about floor than ceiling.,"Brito was a 2023 Pick to Click who looked too rough around the edges on defense that year to justify putting in last year’s Top 100. In 2024, as Brito slashed .256/.365/.443 (.320 xwOBA, per Baseball Savant), his defense improved enough to consider him a viable second base defender. Primarily a middle infielder in Colorado’s org before coming to Cleveland as part of the Nolan Jones trade, the Guardians also tried Brito at third base in 2023, and then at a first base and in right field in 2024. It’s not as though Brito is suddenly a Gold Glove second baseman, but he’s consistent enough to play there in big league games, and he’s backed into having uncommon defensive versatility.

Brito’s offensive skill set hovers around average across the board. He has good bat control and some low-ball power from both sides of the plate, though his swing has more consistent lift as a left-handed hitter. Brito hunts fastballs so fastidiously that he tends to chase them, but his bat control allows him to get away with it. Overall, Brito’s contact and power metrics are right in line with the big league average among second basemen. He’s a platoon-neutral player who can hit from both sides of the dish, and now he’s viable at an up-the-middle position, and likely will be at one or two others soon. With Andrés Giménez gone, Brito has a shot to win Cleveland’s everyday second base job.",,,,,,,,,,50,55,45,50,40,45,50,50,40,45,45,,,,,,
Cade Horton,chc,SP,Horton’s fastball velo trended down to an average level before he was shut down with a shoulder injury in late May of 2024. His slider and changeup quality continue to drive his mid-rotation projection.,"Horton was a draft-eligible sophomore who was seen as a “tip of the iceberg” prospect, as he missed his freshman year due to TJ and didn’t focus solely on pitching until pro ball. It seemed as though things were clicking for him at a different level toward the end of the 2022 college season, and the Cubs were emboldened to select him seventh overall that year. In his 2023 pro debut, Horton posted a .996 WHIP across 88.1 innings, reaching Double-A and sustaining the velocity surge he showed during his breakout junior year despite throwing more innings. That didn’t continue in 2024, as Horton’s velo backed up and was more in the 92-95 range before he was shut down with a shoulder strain in late May after just nine starts. He missed the rest of the season and was re-examined during the offseason to see if he was ready to begin a throwing program. His status for the start of 2025 is up in the air.

Horton’s delivery is fairly violent and indeed looks tough on his shoulder. Other aspects of his fastball are unexceptional, so it’s important for Horton to throw hard for that pitch to be effective. His secondary pitches are what drive his mid-rotation projection here. Horton’s slider and changeup both generate plus-plus rates of miss. His slider has rare velocity and two-plane tilt (it’s a weapon against both left- and right-handed hitters), and his screwball changeup gives him another way to get lefties out. Horton will probably work inefficiently as a starter unless his peak velocity returns, and will have to pitch off his secondary stuff a ton. He’s still likely to be an impact pitcher, but suddenly his list of career arm maladies has grown, forcing Horton toward the back of the overall Top 100.",45,45,60,70,40,50,92,95,97,,,,,,,,,,,,50,50,50,60,,
Troy Melton,det,SP,"Melton is a big, strong righty with an impact fastball and secondary stuff that is still emerging as he gets feel for a relatively new delivery.","Melton was one of the youngest college prospects in the 2021 draft as well as a plus on-mound athlete, so when he had a really rough season with an ERA just over 6.00, it was easier to swallow a return to San Diego State. In his fourth year as an Aztec, Melton reworked his arm action and climbed into the fourth round of the 2022 draft.

Melton and the Tigers have continued to make substantial alterations to his stuff, and he has had both bat-missing and strike-throwing success up through Double-A. In 2024, he was generating six feet, 10 inches of extension and sitting 95-97 mph with plus vertical movement from a low release height across 100.2 innings of work. Melton has added roughly five ticks of velocity to his breaking ball since college, and his splinker-style changeup (often mis-classified by automatic pitch tagging) generated plus chase and miss.

Melton is a strapping 6-foot-4, he throws strikes, and he has two plus pitches and several late-bloomer traits. He was young for his graduating class, was mostly a catcher in high school, missed a season due to the pandemic, and now has a fairly new delivery and breaking ball. He was homer-prone in 2024 (20% HR/FB rate), which is a big part of why he carried an elevated ERA, but that’s an unsustainably high rate. Melton was also shut down with a shoulder impingement at the very end of the 2024 season, but he was hitting 98 in a bullpen just before Top 100 publication and seems fine. He’s on pace to debut at some point late in 2025 and compete for a more permanent spot in the middle of Detroit’s stacked rotation in 2026.",60,60,50,50,45,50,94,97,98,,,,,,,,,,,,,,50,60,,
Jefferson Rojas,chc,SS,"Rojas is a young middle infield prospect with a great looking swing. He has terrific underlying data, but has struggled against high fastballs.","Rojas hit so well during 2023 extended spring training that the Cubs sent him to Low-A before the complex-level season had barely began. He hit .268/.345/.404 in 70 games there, and the Cubs sent him straight to High-A South Bend when camp broke in 2024. There Rojas slashed .245/.310/.336 as 19-year-old. He has gorgeous hitting hands, great rhythm and timing, and advanced feel for all-fields contact. Though Rojas’ granular contact data is very strong (he had a 90% in-zone rate in 2024, for instance, which is great), there are very clearly two ways to get him out: backfoot breaking balls and elevated fastballs. He is very likely to require eventual adjustment to deal with at least one of them. He’s still a very exciting offensive prospect, especially for a shortstop, there is just less certainty in this aspect of his prospectdom.

Rojas has the athleticism, range, and actions to project as a viable shortstop, but he needs polish, as you might expect of a teenage shortstop playing a level above what is typical. Rojas’ internal clock is a little slow and he struggles with short hops right now, but the foundation to stay at short is there. He still has an everyday shortstop projection, it’s just a riskier version of it than was previously considered here. His medium frame means he’s unlikely to develop huge power — this guy doesn’t have Elly De La Cruz’s ceiling or anything like that — but he has the talent of an average regular via a blend of contact, power and average shortstop defense. Rojas was initially graded as a 45+ FV on the Cubs list, but as the entire player population was considered, it felt more appropriate that end slot in this area on the Top 100.",,,,,,,,,,25,50,40,50,25,50,45,45,30,45,50,,,,,,
Arjun Nimmala,tor,SS,"Nimmala made swing tweaks in the middle of 2024 and hit for impressive power afterward. He’s a big guy, but he has a shot to stay at shortstop.","Nimmala was one of the youngest prospects in the 2023 draft and also one of the most projectable, both because of his big, broad-shouldered frame and because he’s new enough to baseball to merit deeper, skill-centric projection. He struggled mightily with breaking ball recognition as an amateur, and at his size, it seemed feasible that he might also need to move off of shortstop.

In 2024, Nimmala had his ass handed to him during the first several weeks of the season. He was hitting .167 in the middle of May and was demoted to the complex, where his swing was re-worked. It seems to have made a real difference. Nimmala’s leg kick and the position of his hands as they load were both altered. When he returned to the Dunedin roster, he hit .265/.331/.564 and stroked 13 bombs in his final 53 games.

This isn’t to say Nimmala is suddenly a lock to be an everyday infielder. He still struck out 29.7% of the time during his hot second half of the season, which is a scary rate at Low-A. His overall contact rate (69%) also wasn’t great, but there is at least precedent for power-hitting big leaguers to carry a rate that low and still be impact players. Nimmala already hits the ball very hard. He is a ferocious rotator and is able to generate considerable power because of the strength and quickness of his hitting hands, which are gigantic. Nimmala is able to create big power in a relatively short distance, and his swing isn’t overly noisy or hard to maintain. He’s also elevating the baseball at an Andy Pages-esque 21 degrees of launch on average, and he’s often on time to pull the baseball thanks to a strong top hand through contact. Toward the end of the year, Arjun showed glimpses of being able to cover the outer third and drive the ball to the opposite field gap with power.

Nimmala is also a terrific bender for his size and has a shot to remain at shortstop. That said, his feel for throwing isn’t great, his body doesn’t always sequence well from the ground up, and his mechanics can get out of whack. He needs to work on more consistently transferring his weight from one foot to the other, which he badly struggles with on backhand plays. The tools to be an impact power-hitting shortstop are here, and Nimmala will be 19 for basically all of 2025. He was always going to be a slower burn, and now he’s shown that he can pretty quickly make relevant adjustments.",,,,,,,,,,20,40,55,70,25,60,45,40,30,45,50,,,,,,
Thomas White,mia,SP,White is a big-framed lefty with mid-90s heat and a plus breaking ball.,"As an underclassman, White was sitting in the low-90s, with a snapdragon breaking ball and a great physical foundation on which to layer velocity. He unleashed even more heat at PG National in 2022 (lots of 93-96 mph) and then shut things down for the bulk of showcase season. Leading up to the 2023 draft, White looked more muscular and mature in the body and held mid-90s velocity throughout the spring, albeit under a very conservative workload. The Marlins gave him just over $4 million as one of two first-round prep arms taken that year, the second straight draft where Miami coaxed a high school pitcher away from Vanderbilt. In 2024, White’s first full season, he carried a 2.81 ERA across 21 starts, mostly at High-A. He worked 96 innings and K’d 29.2% of opposing hitters while keeping his walks mostly under control. The strike-throwing aspect of White’s 2024 season is the chief reason he moved into the 100, after that had been a concern while he was an amateur. His fastball averaged 95 mph across the entire season, his curveball morphed into more of a sweeper (which helped it play as a back foot weapon against righties), and while White’s changeup doesn’t have great movement right now, his feel for locating it is pretty good considering he barely had to use it in high school. He’s in the early stages of charting a mid-rotation course.",55,60,55,60,30,50,94,96,97,,,,,,,,,,,,,,40,50,,
Travis Sykora,wsn,SP,"Sykora had a dominant first pro season thanks to his plus velocity, splitter, and advanced control.","As I noted on last year’s Nationals list, you can’t help but malaprop Sykora into “Sequoia,” because at 6-foot-6 and 230 pounds, Travis is the size of a tree. He overpowered high school hitters with a downhill, upper-90s fastball and promising split changeup as an amateur, and the Nationals gave him $2.6 million in the third round of the 2023 draft. Sykora made 20 excellent Low-A starts during his pro debut in 2024. In 85 innings, he posted a 2.33 ERA, a 1.87 FIP, a 39.2% strikeout rate (yow), and a 8.2% walk rate.

Sykora has a low-three-quarters arm slot, but his front side stays tall throughout his delivery. It’s a funky operation that gives him the option of running a two-seamer down toward his arm-side or elevating his fastball at the belt. Sykora did much more of the latter in 2024 while he held mid-90s velo all year. Even as a high schooler, his fastball command was fairly advanced for a pitcher his size and age, but a 8% walk rate in a 6-foot-6 guy’s debut season is even better than one could have hoped for. Sykora’s slider, which doesn’t spin very much but is aided by its natural downhill trajectory, gives him the means to attack east and west off his fastball, while his splitter combines with the elevated version of Sykora’s heater to attack north and south. The direction of the splitter’s movement has been all over the place since Sykora was in high school. At times it can look like a slider, and something about its inconsistency plays mind games with hitters. Both of his secondary pitches generated miss rates north of 50% last year. Just before the Top 100 was published, Mike Rizzo told reporters that Sykora will be out until close to the middle of the 2025 season; he had a hip procedure during the offseason and will start the year in extended spring training. It didn’t impact his grade here, and so long as Sykora’s stuff looks the same when he returns, he’ll still have mid-rotation projection.",55,55,55,60,30,50,93,97,98,,,,,,,,,,,,,,50,60,,
Felnin Celesten,sea,2B,"Celesten is a physical, switch-hitting middle infield prospect who hasn’t played much due to injury.","The early portion of Celesten’s career has been defined by injury. He suffered a hamstring tear before the 2023 DSL season began, an injury that basically cost him the entire season except for a couple of games in Arizona during Fall Instructional League. Then his season was cut short in 2024 when a slide aggravated a wrist issue that had been bothering Celesten on and off for a while. He had surgery and has now only played in 32 actual games as a pro, though he was also scouted a ton during 2024 extended spring training. In those 32 games, Celesten slashed an amazing .352/.431/.568 and produced a 48% hard-hit rate even though his wrist was hurting. Celesten’s physicality stands out immediately and would stand out in a big league clubhouse. He probably weighs 15 or 20 pounds more than when he signed, and every bit of it is muscle; Celesten’s shoulders look like he stuffed grapefruits up his sleeves. This allows him to make a remarkable amount of hard contact with an easy, low-effort swing.

Celesten’s left-handed swing has a beautifully balanced leg kick that takes advantage of his athleticism without getting out of control. His load from that side is pretty aggressive and deep, with the head of the bat tilted toward the pitcher as he prepares to unwind. You can see in the way Celesten’s lower body, hips, and wrists rotate throughout his swing that this is a pretty special and powerful athlete. His swing is currently geared for low-ball contact, and he’s going to be tested by belt-high fastballs as he climbs further up the full-season ladder, but if this guy ever learns how to alter the posture of his body as a means of covering the top of the zone so that his hands can continue to work with their natural loft, he’s going to be a problem. His right-handed swing is nowhere near as authoritative and is often late, but you can see the athletic elements of his cut from that side, too. Celesten’s swing is not actualized for lift just yet — he averaged just two degrees of launch in a small enough sample that it probably isn’t exactly right to say he’s a two degree guy, but he hits a ton of grounders, to be sure.

On defense, I’ve shifted my forecast for Celesten to second base. He was running in the 4.4s from the right side and the 4.3s from the left for me during the spring (I had no ACL run times from him because his contact quality has been too good for him to ever have to run hard), and I also think Celesten’s size at maturity will be bigger than the typical shortstop’s. Hopefully Celesten will stay healthy enough to have a full season at Modesto. He’s still a risky prospect because he simply hasn’t played very much, but his absolute ceiling would give the org something of a Ketel Marte do over.",,,,,,,,,,20,45,50,60,20,55,50,40,35,50,60,,,,,,
Tre’ Morgan,tbr,1B,Morgan’s lack of power relative to other first basemen is countered by his incredible defensive ability.,"Morgan was the Eric Hosmer of college baseball for his three years at LSU, playing slick first base defense while bringing a competitive edge and moxy to Baton Rouge. He didn’t produce anything close to the typical in-game power output of a big league first baseman, in part because his bat path caused him to drive the ball into the ground fairly often, à la Hosmer. In pro ball, Morgan’s swing and approach have changed pretty dramatically a couple of times already, and he has also begun using a bat with a counterweighted knob.

During the 2024 regular season, it looked like Morgan was more often taking max-effort swings and selling out for power. He reached Double-A and slugged .483 across three levels, but his middling raw strength and opposite-field tendency as a hitter (plus elevated chase rates relative to his career norms) suggested this was maybe not the best approach for him. In the Fall League, Morgan was more balanced, taking enormous hacks only in favorable counts. He was still stinging the ball in a way that indicates he’ll be a doubles machine, and he seemed less vulnerable to fastballs up and away than he did during the summer. We don’t have a way of truly knowing how Morgan will handle elevated big league fastballs until he faces them, but a more balanced, contact-oriented style of hitting is going to give him a much better chance of covering the top of the zone and being a more complete hitter.

What really tipped Morgan into the Top 100, though, is his defense. He does the splits at first base as easily as I change the channel from the CBS NFL game to the FOX game during commercials. He is at least the best first base defender I’ve seen in person since young Cody Bellinger, and maybe the best I’ve ever seen there, period. He looks bad in the outfield and shouldn’t play there. Morgan will produce like a second-division regular on offense, but he’ll make the whole infield better because of his ability to erase their mistakes on defense.",,,,,,,,,,35,55,45,45,30,40,50,50,70,80,50,,,,,,
Starlyn Caba,mia,SS,Caba is special defender who has produced special contact rates in the lower minors. He is unlikely to hit for much power.,"The primary return from the Phillies in the Jesús Luzardo trade, Caba has a chance to be the best shortstop defender in all of baseball at maturity. He is an unbelievable athlete with ridiculous body control and range, and a big arm for a 5-foot-9 guy. He’ll make the occasional overzealous throw that misses first base entirely, but he is otherwise a complete and sensational shortstop. Despite his age, he is basically a lock to be a special defensive player at arguably the most important position on the field.

Caba has also shown great plate discipline and contact ability in the lower minors. He’s a career .252/.398/.304 hitter across two minor league seasons and spent the last six weeks of 2024 at Low-A Clearwater while he was still just 18 years old. That line is underwhelming more due to the lack of power than anything else. Caba has accumulated many more walks than strikeouts during that span, and his granular contact data (5% swinging strike rate, 93% in-zone contact, 87% overall) is exceptional, especially for such a young switch-hitter. He might not have a huge offensive ceiling, however. Caba is four inches shorter than Zach Neto and his bat speed is only fair. There isn’t going to be big power here; in fact, it’s possible Caba’s lack of power will dilute the performance of his on-base and contact skills somewhat — he tends to keep infielders busy. A career similar to that of Jose Iglesias is fair to hope for Caba, while Andrelton Simmons (who had a more meaningful power peak) feels like the absolute ceiling.",,,,,,,,,,25,70,30,40,20,30,60,60,45,80,60,,,,,,
Welbyn Francisca,cle,2B,Francisca is a twitchy little bat-to-ball prodigy whose long-term defensive fit is probably second base.,"Francisca is a compact, switch-hitting bat control prodigy who signed for $1.3 million in 2023. He hit his way from the Goodyear complex to Low-A in 2024 and, combined, slashed .326/.411/.474. He’s a fantastic athlete who has rare ball-striking power for an athlete of his size and age, capable of turning on low pitches with power and taking what is given in other parts of the zone. For Francisca to have such advanced barrel feel as such a young switch-hitter is very exciting.

Limited arm strength and range will likely limit Welbyn to second base over the long haul. He plays defense with a ton of effort, but he too often makes routine plays look spectacular out of necessity. Francisca’s swing is explosive enough that, despite being a tad undersized, I think he’ll eventually have enough power to profile as a first-division second baseman.",,,,,,,,,,25,60,30,45,20,40,60,60,30,50,40,,,,,,
Jedixson Paez,bos,SP,Paez is a command artist with plus secondary stuff.,"Paez is among the most entertaining pitchers in the minors, a whippy-armed lower slot guy with an incredibly fast arm action and great secondary stuff. The undersized, low-three-quarters righty began his pro career as a sinker merchant with precocious command, then in 2024, his secondary pitches and velocity both took a meaningful leap compared to 2023 and Paez retained his incredible command in the process. As a 20-year-old swingman working up to five innings per outing, Paez pitched 96.2 innings and posted a 10.52 K/9, 1.12 BB/9, and 3.17 ERA at (mostly) High-A.

Paez’s athleticism is evident in his delivery and in some of his data. He’s a wispy 6-foot-1 but generates six feet, nine inches of extension because of his enormous hop down the mound. For all of the effort with which Paez throws, he doesn’t miss his spot very often. He’ll bury his sinker in locations that make it impossible to elevate, run it back over the corner of the plate for a strike, use it to set up his excellent changeup with precise arm-side location, and occasionally run his heater up the ladder, where it can slip past certain hitters’ bats because of its angle. Paez’s slider, which spins it at 2,700-2,800 rpm on average, was four ticks harder in 2024 than in 2023, and averaged 82 mph. His ability to attack with lateral fastball/slider divergence and then pull the string with his changeup is very advanced. He might also have an uphill cutter at maturity to give hitters one more glove-side pitch to worry about.

Paez is a great athlete but he doesn’t have a great frame. He’s smaller than most starters, and he can be slow getting off the mound to field his position, which is a mandatory part of any sinker baller’s skill set. But he’s also one of the few pitchers in the minors who, statistically and visually, looks like he has a chance to develop elite command. The 2025 season is his 40-man platform year, putting him on pace to get his feet wet at the big league level as a spot starter in 2026.",35,40,55,60,45,80,90,92,93,,,,,,,,,,,,,,55,60,,
Edgar Quero,chw,C,Quero is a bat-first catching prospect who has performed as a young-for-the-level hitter.,"Part of the 2023 Lucas Giolito trade with the Angels, Quero is a switch-hitting bat-first catcher who has had success as a young-for-the-level hitter at each minor league stop, including Triple-A at the end of 2024. He lacks a plus tool, but he’s a well-rounded hitter and a viable up-the-middle defender. It’s particularly difficult to sneak one by Quero when he’s hitting righty, as his swing is short and flat, which helps him make plus rates of contact from that side of the plate. He has more power as a lefty and is adept at dropping the bat head to make low-ball contact.

Quero’s defense is less mature, and his unexceptional athleticism is evident in this part of his game, which is currently below-average (but not awful) across the board. He has below-average pure arm strength, but has posted a 25% CS% rate (basically average) the last couple of seasons thanks to his accuracy. Keep in mind that while Quero has been around for a bit and has been a fringy defender for much of that time, he’s been pushed through the minors aggressively and has been catching upper-level arms at age 20 and 21 the last couple of seasons.

The presence of Kyle Teel and Korey Lee in the org clouds Quero’s future somewhat because he is the worst defender of that group and therefore the one most likely to move off the position. It’s possible Lee won’t hit enough for this to matter, and that a year or two from now Quero and Teel will be one of the more potent young catching tandems in the league. The White Sox still have at least a year for this stuff to sort itself out before they have to make any kind of actual roster decisions related to this potential logjam. Quero is on track to be added to the 40-man this offseason, while Teel’s chalk 40-man timeline is for post-2026, though his promotion pace has tracked ahead of that. Though he probably won’t be a star, Quero is a well-rounded young hitter who should hit enough to be in the lineup every day, even if half the time he’s a first baseman or DH.",,,,,,,,,,40,50,45,50,40,50,30,30,40,45,45,,,,,,
Edgardo Henriquez,lad,SIRP,"If you’re looking for the next Mason Miller, Henriquez is an outstanding candidate.","If you’re looking for a Mason Miller character in this year’s prospect crop, Henriquez is probably your guy. He’s an ideally built 22-year-old who throws 100, it’s just that Henriquez’s body and arm are too explosive for him to control right now. He missed 2023 recovering from TJ and was put in the bullpen after just five Low-A starts early in 2024. He raced through the minors as a reliever and debuted in late September, but he struggled with walks (just shy of 13% on the year).

At some point things are going to click for Henriquez and he’s going to be a dominant closer. He touched 102 last season and sat 98-99. Automatic pitch tagging thinks Henriquez’s slider is a cutter, in part because it’s so hard (it’ll touch 94) and in part because Henriquez doesn’t locate it to his glove side consistently enough for it to have long, slider-y movement. When he does snap off a good one, it has incredible two-plane movement and depth for a pitch traveling nearly 90 mph most of the time. Days after the Dodgers’ World Series parade, Henriquez was bundled up at an Arizona Fall League game, just to hang out and watch baseball. I like that. He’s immensely talented, he’s been to The Show already, and it wouldn’t surprise me if he’s the Dodgers’ best reliever at some point in the next year or two, and then beyond.",70,80,60,70,30,40,97,99,102,,,,,,,,,,,,,,,,,
Tai Peete,sea,CF,Peete is a lanky power projection bat who began a transition from shortstop to center field in 2024.,"Peete was a 2024 Pick to Click who has clicked for an unexpected reason: It looks like he’s going to make a successful transition to center field. A high school shortstop whose size likely would have been a prohibitive long-term factor at that position, Peete was error-prone at short in 2024 and, in the middle of the season, the Mariners shifted him to the outfield on a part-time basis. It’s not as if Peete instantly became Kevin Kiermaier out there, but his first step and range were surprisingly good. Like Lourdes Gurriel Jr., Peete has taken some of his infielder skills out there with him, and his exchange on throws is uncommonly quick. Unsurprisingly, his routes need some polish, but Peete boldly made some spectacular plays out there last season. He’s already better in the outfield than he is at short, where errors of all sorts were common for him in 2024. Part of me wants Peete to keep playing some infield, if only so that he keeps having opportunities to handle the baseball as much as possible as a way of improving his hands, but part of me wants to see the Mariners commit to the center field thing full-time.

Of course, the reason I thought Peete would break out in 2024 is because of his immense, frame-driven power potential. He has an ideal baseball player’s build at a broad-shouldered 6-foot-2, and he put on an absolute show during BP at the 2023 Combine. He came to pro ball with hit tool risk, and that still exists. He posted a 67% contact rate in 2024 and still struggles to cover the outer third of the zone because of how early his front side drifts open. But despite Peete’s lever length, he’s often on time to pull. It’s kind of amazing how often he’s able to snatch pitches riding in on his hands, and he showed glimpses last year of being able to bend at the waist so that he can cover that outer edge with power. He’s still growing into his body and should add more raw juice as he matures. He made the 100 more on upside than certainly, as he has a shot to be a 25-homer center fielder.",,,,,,,,,,20,40,50,60,25,60,55,55,30,50,60,,,,,,
George Klassen,laa,SP,"Klassen developed from a hard-throwing sideshow into a high-upside starter in about a year under the Phillies’ tutelage prior to the Carlos Estévez trade. He’s still really wild, but now he has three plus pitches and an impact relief floor.","Klassen developed from a hard-throwing sideshow into a high-upside mid-minors starter in about a year under the Phillies’ tutelage, then was traded to the Angels as part of the Carlos Estévez deal. He walked nearly a batter per inning in his draft year at Minnesota, but coasted through A-ball with fewer free passes in his first pro season. Klassen had a sub-1.00 WHIP when he was traded to Anaheim, and improved his control while also adding a cutter and polishing his curveball. Still, his walk rate exploded after the Angels acquired him, and chances are that he is going to be a reliever in the end.

Klassen is a super whippy and bouncy athlete who generates huge arm speed. His delivery requires a ton of effort and violence to produce upper-90s heat, and he throws a lot of non-competitive pitches. But improving his breaking stuff (his power curveball is now comfortably plus) and adding a third pitch (his 90-92 mph cutter probably eventually will be, too) is a huge one-year leap for Klassen to have made when there were times in his draft spring when he looked absolutely awful. Klassen has mid-rotation upside if he can hone his command and is a late-inning relief fit if he can’t. His rapid progression in this area is encouraging and, even if it doesn’t continue, he’s going to be an impact arm of some kind. It’s fine to value him toward the back of the Top 100.",60,70,,,30,40,96,98,101,,,,,,,,,,,,60,60,,,50,60
